datetime,cumulative_total,daily_usage
2025-10-24,160.711,0.602
2025-10-25,170.399,9.688
2025-10-26,186.071,15.672
2025-10-27,202.600,16.529
2025-10-28,215.921,13.320
2025-10-29,226.072,10.151
2025-10-30,234.084,8.013
2025-10-31,240.991,6.906
2025-11-01,247.823,6.832
2025-11-02,255.563,7.740
2025-11-03,264.481,8.918
2025-11-04,274.166,9.685
2025-11-05,280.328,6.162
2025-11-06,290.019,9.692
2025-11-07,304.614,14.594
2025-11-08,322.541,17.927
2025-11-09,336.631,14.090
2025-11-10,352.482,15.850
2025-11-11,364.303,11.821
2025-11-12,379.688,15.385
2025-11-13,394.382,14.693
2025-11-14,403.381,8.999
2025-11-15,407.079,3.699
2025-11-16,411.962,4.883
2025-11-17,419.527,7.565
2025-11-18,430.245,10.718
2025-11-19,441.344,11.099
2025-11-20,463.510,22.166
2025-11-21,485.614,22.104
2025-11-22,499.227,13.613
2025-11-23,516.951,17.724
2025-11-24,531.291,14.340
2025-11-25,544.086,12.796
2025-11-26,557.257,13.171
2025-11-27,571.602,14.345
2025-11-28,586.296,14.694
2025-11-29,600.158,13.862
2025-11-30,612.601,12.443
2025-12-01,625.879,13.278
2025-12-02,639.865,13.987
2025-12-03,654.082,14.217
2025-12-04,668.177,14.095
2025-12-05,681.805,13.629
2025-12-06,694.623,12.818
2025-12-07,706.284,11.661
2025-12-08,716.446,10.161
2025-12-09,725.145,8.699
2025-12-10,733.439,8.294
2025-12-11,742.533,9.094
2025-12-12,753.025,10.492
2025-12-13,764.740,11.715
2025-12-14,777.454,12.714
2025-12-15,790.943,13.489
2025-12-16,804.958,14.015
2025-12-17,818.731,13.772
2025-12-18,830.987,12.256
2025-12-19,841.086,10.099
2025-12-20,850.813,9.727
2025-12-21,862.521,11.708
2025-12-22,878.903,16.382
2025-12-23,897.725,18.822
